Brand,Model,Kms,License,Year,Capacity,Type,Price
TRIUMPH,SPEED Triple R promo,36000,A,2016,0,NAKED,5880
SYM,Maxsym 600i ABS promo,4000,A / A2,2020,0,MAXI-SCOOTER,5880
SYM,Maxsym 600i ABS promo,2514,A / A2,2019,0,MAXI-SCOOTER,5880
YAMAHA,FJR 1300 A promo,48000,A,2014,0,TOURING,5880
PEUGEOT,Metropolis 400 promo,20000,A2,2018,0,TRES RUEDAS,5880
HONDA,VFR 1200 F DCT promo,97000,A,2010,0,TOURING,5880
KAWASAKI,Z 1000 SX promo,55000,A,2012,0,TOURING,5880
APRILIA,Shiver 750 GT promo,23000,A,2015,0,NAKED,5880
HONDA,SCOOPY SH300i promo,54000,A2,2015,0,MAXI-SCOOTER,5880
MOTO GUZZI,V9 Roamer promo,0,A,2021,0,NAKED,5880
MOTO GUZZI,V7 III Stone promo,19000,A,2017,0,CUSTOM,5880
YAMAHA,MT 01 promo,32000,A,2005,0,NAKED,5880
ROYAL ENFIELD,Meteor 350 promo,5000,A2,2021,0,NAKED,5880
HUSQVARNA,701 Supermoto promo,25000,A,2016,0,NAKED,5880
TRIUMPH,Street Triple R x promo,42000,A,2015,0,NAKED,5880
HONDA,PAN-EUROPEAN ST 1300 promo,50000,A,2004,0,TOURING,5880
KTM,1050 Adventure promo,44000,A,2016,0,TRAIL,5880
KAWASAKI,Z 1000 SX promo,42000,A,2013,0,TOURING,5880
DUCATI,DIAVEL Dark promo,14600,A,2013,0,NAKED,5880
YAMAHA,FJR 1300 A promo,48000,A,2015,0,TOURING,5880
PEUGEOT,Metropolis 400 RX-R promo,8000,A2,2017,0,TRES RUEDAS,5880
HONDA,VFR 1200 F promo,77000,A,2010,0,TOURING,5880
BMW,K 1200 LT promo,43000,A,2004,0,TOURING,5880
DUCATI,Multistrada 1260 S promo,78000,A,2018,0,TRAIL,5880
BMW,F 800 GT promo,46000,A,2015,0,TOURING,5880
HONDA,CRF 450 L promo,4000,A2,2020,0,OFF-ROAD,5880
DUCATI,Streetfighter 1100 promo,27000,A,2009,0,NAKED,5880
HUSQVARNA,Svartpilen 701 promo,2000,A,2020,0,NAKED,5880
HUSQVARNA,Vitpilen 701 promo,7000,A,2018,0,NAKED,5880
KAWASAKI,Z 1000 SX promo,63000,A,2014,0,TOURING,5880
KAWASAKI,Z 750 promo,52000,A,2006,0,TOURING,5880
APRILIA,SMV 750 Dorsoduro ABS promo,12000,A,2010,0,NAKED,5880
BMW,K 1200 R Sport promo,40000,A,2009,0,TOURING,5880
YAMAHA,X-MAX 400 promo,20000,A2,2018,0,MAXI-SCOOTER,5880
SUZUKI,Intruder C1500 promo,11000,A,2008,0,CUSTOM,5880
BMW,K 1300 R promo,139114,A,2010,0,NAKED,5880
BMW,F 700 GS promo,31000,A,2012,0,TRAIL,5880
