Brand,Model,Kms,License,Year,Capacity,Type,Price
TRIUMPH,SPEED Triple R,36000,A,2016,1050,NAKED,5880
PEUGEOT,Metropolis 400,20000,A2,2018,400,TRES RUEDAS,5880
HONDA,VFR 1200 F DCT,97000,A,2010,1200,TOURING,5880
SYM,Maxsym 600i ABS,2514,A / A2,2019,600,MAXI-SCOOTER,5880
KAWASAKI,Z 1000 SX,55000,A,2012,1000,TOURING,5880
YAMAHA,FJR 1300 A,48000,A,2014,1300,TOURING,5880
SYM,Maxsym 600i ABS,4000,A / A2,2020,600,MAXI-SCOOTER,5880
APRILIA,Shiver 750 GT,23000,A,2015,750,NAKED,5880
HUSQVARNA,701 Supermoto,25000,A,2016,701,NAKED,5880
TRIUMPH,Street Triple R x,42000,A,2015,675,NAKED,5880
HONDA,SCOOPY SH300i,54000,A2,2015,300,MAXI-SCOOTER,5880
APRILIA,Shiver 750 GT,23000,A,2015,750,NAKED,5880
ROYAL ENFIELD,Meteor 350,5000,A2,2021,350,NAKED,5880
MOTO GUZZI,V9 Roamer,0,A,2021,900,NAKED,5880
MOTO GUZZI,V7 III Stone,19000,A,2017,744,CUSTOM,5880
